"";"";"";"";F;2012/06/29;""
"812V";"08";"Intra articular medication, short therapy";"Intra articular medication, short therapy";F;2007/09/05;"812O"
"813NP";"13";"Major reproductive medicine outpatient procedure, short therapy";"Major reproductive medicine outpatient procedure, short ther";F;2007/11/14;"813P"
"813NR";"13";"Minor reproductive medicine outpatient procedure, short therapy";"Minor reproductive medicine outpatient procedure, short ther";F;2007/11/14;"813R"
"813NS";"13";"Gynegologic biopsy, short therapy";"Gynegologic biopsy, short therapy";F;2007/11/14;"813S"
"813NT";"13";"Other minor gynecologic outpatient procedure, short therapy";"Other minor gynecologic outpatient procedure, short therapy";F;2007/11/14;"813T"
"813O";"13";"Non-extensive procedure of female reproductive system, short therapy";"Non-extensive procedure of female reproductive system, short";T;2003/05/26;"813O"
"813V";"08";"Orthopedic bandage of extremity, short therapy";"Orthopedic bandage of extremity, short therapy";F;2007/09/05;"813O"
"814NR";"14";"Other delivery related procedure, short therapy";"Other delivery related procedure, short therapy";F;2007/11/13;"814R"
"814NS";"14";"Induced abortion";"Induced abortion";F;2009/07/09;"814NS"
"814O";"14";"Non-extensive obstetric procedures, short therapy";"Non-extensive obstetric procedures, short therapy";T;2003/05/26;"814O"
"814P";"14";"Spontaneous or drug induced abortion";"Spontaneous or drug induced abortion";F;2007/11/26;"814P"
"814V";"08";"Extrction of external fixation, short therapy";"Extrction of external fixation, short therapy";F;2007/09/05;"814O"
"815O";"15";"Non-extensive neonatal procedure, short therapy";"Non-extensive neonatal procedure, short therapy";T;2003/05/23;"815O"
"815V";"08";"Orthopedic bandage with custom molded splint, short therapy";"Orthopedic bandage with custom molded splint, short therapy";F;2007/09/05;"815O"
"816NP";"16";"Transfusion of other blood components or aferes, short therapy";"Transfusion of other blood components or aferes, short thera";F;2007/11/14;"816P"
"816NR";"16";"Transfusion of erythrocytes or whole blood, short therapy";"Transfusion of erythrocytes or whole blood, short therapy";F;2007/11/14;"816R"
"816O";"16";"Non-extensive procedure of blood and immunological disease, short therapy";"Non-extensive procedure of blood and immunological disease,";T;2003/05/26;"816O"
"816V";"08";"Implantation of sceletal marker, short therapy";"Implantation of sceletal marker, short therapy";F;2007/09/05;"816O"
"817NP";"17";"Stem cell collection, short therapy";"Stem cell collection, short therapy";F;2007/11/14;"817P"
"817NR";"17";"Aferesis, short therapy";"Aferesis, short therapy";F;2007/11/14;"817R"
"817NS";"17";"Phlebotomy or rone marrow aspiration or biopsy, short therapy";"Phlebotomy or rone marrow aspiration or biopsy, short therap";F;2007/11/14;"817S"
"817O";"17";"Non-extensive procedure of myeloproliferative disease, short therapy";"Non-extensive procedure of myeloproliferative disease, short";T;2003/05/26;"817O"
"817V";"08";"Puncture of other joint, short therapy";"Puncture of other joint, short therapy";F;2007/09/05;"817O"
"818O";"18";"Non-extensive procedure of infectious diseases, short therapy";"Non-extensive procedure of infectious diseases, short therap";T;2003/05/26;"818O"
"818V";"08";"Orthosis of major joint, short therapy";"Orthosis of major joint, short therapy";F;2007/09/05;"818O"
"819O";"19";"Non-extensive procedure of mental illness, short therapy";"Non-extensive procedure of mental illness, short therapy";T;2003/05/26;"819O"
"819V";"08";"Other orthopedic bandage, short therapy";"Other orthopedic bandage, short therapy";F;2007/09/05;"819O"
"820O";"20";"Non-extensive procedure of alcohol/drug use, short therapy";"Non-extensive procedure of alcohol/drug use, short therapy";F;2003/05/26;"820O"
"820V";"08";"Orthosis of other joint, short therapy";"Orthosis of other joint, short therapy";F;2007/09/05;"820O"
"821O";"21";"Non-extensive procedure for trauma, short therapy";"Non-extensive procedure for trauma, short therapy";T;2003/06/05;"821O"
"821T";"08";"Letter or telephone contact for orthopedic problems";"Letter or telephone contact for orthopedic problems";F;2011/05/23;"821T"
"821V";"08";"Other medical contact for orthopedic problem, short therapy";"Other medical contact for orthopedic problem, short therapy";F;2007/09/05;"821O"
"821W";"08";"Medical contact with team of care providers for orthopedic problem, short therapy";"Medical contact with team for orthopedic probl, sh ther";F;2007/09/05;"821P"
"822O";"22";"Non-extensive procedure of burn, short therapy";"Non-extensive procedure of burn, short therapy";T;2003/05/26;"822O"
"822V";"10";"Liposuction, short therapy";"Liposuction, short therapy";F;2007/09/05;"822O"
"823NP";"23";"Rehabilitation procedure, short therapy";"Rehabilitation procedure, short therapy";F;2007/11/14;"823P"
"823NR";"23";"Medical analysis of environment, short therapy";"Medical analysis of environment, short therapy";F;2007/11/14;"823R"
"823NS";"23";"Allergy provocation test,short therapy";"Allergy provocation test,short therapy";F;2007/11/14;"823S"
"823NT";"23";"Implantantion of injection gate or pumping device, short therapy";"Implantantion of injection gate or pumping device, short the";F;2007/11/14;"823T"
"823NU";"23";"Hyperbaric oxygen therapy, short therapy";"Hyperbaric oxygen therapy, short therapy";F;2007/11/14;"823U"
"823O";"23";"Non-extensive procedure of other problems, short therapy";"Non-extensive procedure of other problems, short therapy";T;2003/05/26;"823O"
"823P";"23";"Non extensive procedure short therapy";"Non extensive procedure short therapy";F;2009/05/22;"823P"
"823V";"09";"Diagnostic or therapeutic major intervention using light, short therapy";"Diagnostic or therapeutic major intervention using light, sh";F;2007/09/05;"823O"
"824O";"24";"Non-extensive procedure for multiple trauma, short therapy";"Non-extensive procedure for multiple trauma, short therapy";T;2003/11/06;"824O"
"824V";"09";"Major dermatologic intervention, short therapy";"Major dermatologic intervention, short therapy";F;2007/09/05;"824O"
"825O";"25";"Non-extensive procedure for HIV, short therapy";"Non-extensive procedure for HIV, short therapy";F;2003/06/05;"825O"
"825V";"09";"Skin excision and biopsy, short therapy";"Skin excision and biopsy, short therapy";F;2007/09/05;"825O"
"825W";"09";"Extended skin excision, short therapy";"Extended skin excision, short therapy";F;2008/05/20;"825P"
"826V";"09";"Minor dermatologic intervention, short therapy";"Minor dermatologic intervention, short therapy";F;2007/09/05;"826O"
"826W";"09";"Medical skin care, short therapy";"Medical skin care, short therapy";F;2007/09/05;"826P"
"827V";"23";"Diagnostic or therapeutic minor intervention using light, short therapy";"Diagnostic or therapeutic minor intervention using light, sh";F;2007/09/05;"827O"
"828V";"09";"Dressing of wound of skin, short therapy";"Dressing of wound of skin, short therapy";F;2007/09/05;"828O"
"829T";"09";"Letter or telephone contact for dermatologic problems";"Letter or telephone contact for dermatologic problems";F;2011/05/23;"829T"
"829V";"09";"Other medical contact for dermatologic problem, short therapy";"Other medical contact for dermatologic problem, short therap";F;2007/09/05;"829O"
"829W";"09";"Medical contact with team of care providers for dermatologic problem, short therapy";"Medical contact with team for dermatol probl, sh ther";F;2007/09/05;"829P"
"830NP";"30";"Incision or puncture of breast, short therapy";"Incision or puncture of breast, short therapy";F;2007/11/14;"830P"
"830O";"30";"Non-extensive procedure of breast, short therapy";"Non-extensive procedure of breast, short therapy";T;2003/05/25;"830O"
"830V";"10";"Hormone profile determination, short therapy";"Hormone profile determination, short therapy";F;2007/09/05;"830O"
"831V";"10";"Puncture of endocrine organ, short therapy";"Puncture of endocrine organ, short therapy";F;2007/09/05;"831O"
"832V";"10";"Metabolic examination, short therapy";"Metabolic examination, short therapy";F;2007/09/05;"832O"
"833V";"10";"Diagnostic major endocrine test, short therapy";"Diagnostic major endocrine test, short therapy";F;2007/09/05;"833O"
"834V";"10";"Diagnostic minor endocrine test, short therapy";"Diagnostic minor endocrine test, short therapy";F;2007/09/05;"834O"
"835V";"10";"Nutritional intervention, short therapy";"Nutritional intervention, short therapy";F;2007/09/05;"835O"
"836T";"10";"Letter or telephone contact for endocrine and metabolic problem";"Letter or telephone contact for endocrine and metabolic prob";F;2011/05/23;"836T"
"836V";"10";"Other medical contact for endocrine and metabolic problem, short therapy";"Other medical contact for endocr & metabolic problem, sh the";F;2007/09/05;"836O"
"836W";"10";"Medical contact with team of care providers for endocrine and metabolic problem, short therapy";"Medical contact with team for endocr & metab probl, sh ther";F;2007/09/05;"836P"
"838V";"11";"Puncture of kidney and retroperitoneal space, short therapy";"Puncture of kidney and retroperitoneal space, short therapy";F;2007/09/05;"838O"
"839V";"11";"Major urogenital intervention, short therapy";"Major urogenital intervention, short therapy";F;2007/09/05;"839O"
"840NO";"23";"Acute intensive care, short therapy";"Acute intensive care, short therapy";F;2007/11/14;"840NO"
"840V";"11";"Diagnostic physiological urogenital intervention, short therapy";"Diagnostic physiological urogenital intervention, short ther";F;2007/09/05;"840O"
"841V";"11";"Minor urogenital intervention, short therapy";"Minor urogenital intervention, short therapy";F;2007/09/05;"841O"
"842T";"11";"Letter or telephone contact for urologic problem";"Letter or telephone contact for urologic problem";F;2011/05/23;"842T"
"842V";"11";"Other medical contact for urogenital problem, short therapy";"Other medical contact for urogenital problem, short therapy";F;2007/09/05;"842O"
"842W";"11";"Medical contact with team of care providers for urogenital problem, short therapy";"Medical contact with team for urogenital probl, sh ther";F;2007/09/05;"842P"
"843V";"12";"Ultrasound guided intervention of male genital organs, short therapy";"Ultrasound guided intervention of male genital organs, short";F;2007/09/05;"843O"
"844V";"12";"Minor intervention on male genital organs, short therapy";"Minor intervention on male genital organs, short therapy";F;2007/09/05;"844O"
"845T";"12";"Letter or telephone contact for male genital problem";"Letter or telephone contact for male genital problem";F;2011/05/23;"845T"
"845V";"12";"Other medical contact for male genital problems, short therapy";"Other medical contact for male genital problems, short thera";F;2007/09/05;"845O"
"845W";"12";"Medical contact with team of care providers for male genital problems, short therapy";"Medical contact with team for male genital probl, sh ther";F;2007/09/05;"845P"
"846V";"13";"Major reproductive medicine interventions, short therapy";"Major reproductive medicine interventions, short therapy";F;2007/09/05;"846O"
"847V";"13";"Minor reproductive medicine interventions, short therapy";"Minor reproductive medicine interventions, short therapy";F;2007/09/05;"847O"
"848V";"13";"Gynecological biopsy with ultrasound quidance, short therapy";"Gynecological biopsy with ultrasound quidance, short therapy";F;2007/09/05;"848O"
"849V";"13";"Gynecological biopsy, short therapy";"Gynecological biopsy, short therapy";F;2007/09/05;"849O"
"850V";"13";"Gynecological ultrasonography, short therapy";"Gynecological ultrasonography, short therapy";F;2007/09/05;"850O"
"851O";"01";"Nervous system problem, short observation w/o signifikant procedure";"Nervous system problem, short observation w/o signifikant pr";F;2005/10/06;"851O"
"851V";"13";"Other gynecological intervention, short therapy";"Other gynecological intervention, short therapy";F;2007/09/05;"851O"
"852O";"02";"Problem of eye, short observation w/o signifikant procedure";"Problem of eye, short observation w/o signifikant procedure";F;2005/10/06;"852O"
"852T";"13";"Letter or telephone contact for gynecological  problem";"Letter or telephone contact for gynecological  problem";F;2011/05/23;"852T"
"852V";"13";"Other medical contact for gynecological probelm, short therapy";"Other medical contact for gynecological probelm, short thera";F;2007/09/05;"852O"
"852W";"13";"Medical contact with team of care providers for gynecological probelm, short therapy";"Medical contact with team for gynecol probl, sh ther";F;2007/09/05;"852P"
"853O";"03";"ENM problem, short observation w/o signifikant procedure";"ENM problem, short observation w/o signifikant procedure";F;2005/10/06;"853O"
"853V";"14";"Puncture of fetus and placenta, short therapy";"Puncture of fetus and placenta, short therapy";F;2007/09/05;"853O"
"854O";"04";"Respiratory problem, short observation w/o signifikant procedure";"Respiratory problem, short observation w/o signifikant proce";F;2005/10/06;"854O"
"855O";"05";"Circulatory problem, short observation w/o signifikant procedure";"Circulatory problem, short observation w/o signifikant proce";F;2005/10/07;"855O"
"855V";"14";"Intervention for delivery, short therapy";"Intervention for delivery, short therapy";F;2007/09/05;"855O"
"856O";"06";"Gastrointestinal problem, short observation w/o signifikant procedure";"Gastrointestinal problem, short observation w/o sign proc";F;2005/10/08;"856O"
"856V";"14";"Obstetric ultrasonography, short therapy";"Obstetric ultrasonography, short therapy";F;2007/09/05;"856O"
"857O";"07";"Problem of hepatobiliary system, short observation w/o signifikant procedure";"Problem of hepatobiliary system, short obs w/o sign proc";F;2005/10/08;"857O"
"857T";"14";"Letter or telephone contact for obsterical problem";"Letter or telephone contact for obsterical problem";F;2011/05/23;"857T"
"857V";"14";"Other medical contact for obsterical problem, short therapy";"Other medical contact for obsterical problem, short therapy";F;2007/09/05;"857O"
"857W";"14";"Medical contact wtih team of care providers for obsterical problem, short therapy";"Medical contact wtih team for obsterical pobl, sh ther";F;2007/09/05;"857P"
"858O";"08";"Problem of musculosceletal system, short observation w/o signifikant procedure";"Problem of musculosceletal system, short obs w/o sign proc";F;2005/10/08;"858O"
"858T";"15";"Letter or telephone contact for neonatal problem";"Letter or telephone contact for neonatal problem";F;2011/05/23;"858T"
"858V";"15";"Other medical contact for neonatal problem, short therapy";"Other medical contact for neonatal problem, short therapy";F;2007/09/05;"858O"
"858W";"15";"Medical contact with team of care providors for neonatal problem, short therapy";"Medical contact with team of care providors for neonatal pro";F;2007/09/05;"858P"
"859O";"09";"Skinn problem, short observation w/o signifikant procedure";"Skinn problem, short observation w/o signifikant procedure";F;2005/10/08;"859O"
"859V";"16";"Transfusion combined intervention, short therapy";"Transfusion combined intervention, short therapy";F;2007/09/05;"859O"
"860O";"10";"Endocrine problem, short observation w/o signifikant procedure";"Endocrine problem, short observation w/o signifikant procedu";F;2005/10/08;"860O"
"860V";"16";"Transfusion of other blood components, short therapy";"Transfusion of other blood components, short therapy";F;2007/09/05;"860O"
"861O";"11";"Urological problem, short observation w/o signifikant procedure";"Urological problem, short observation w/o signifikant proced";F;2005/10/08;"861O"
"861V";"16";"Diagnostic test of koagulation, short therapy";"Diagnostic test of koagulation, short therapy";F;2007/09/05;"861O"
"862O";"12";"Male reproductive problem, short observation w/o signifikant procedure";"Male reproductive problem, short observation w/o signifikant";F;2005/10/07;"862O"
"862V";"16";"Transfusion of erythrocytes or blood, short therapy";"Transfusion of erythrocytes or blood, short therapy";F;2007/09/05;"862O"
"863O";"13";"Female reproductive problem, short observation w/o signifikant procedure";"Female reproductive problem, short obs w/o sign proc";F;2005/10/09;"863O"
"863T";"16";"Letter or telephone contact for hematological problem";"Letter or telephone contact for hematological problem";F;2011/05/23;"863T"
"863V";"16";"Other medical contact for hematologic problem, short therapy";"Other medical contact for hematologic problem, short therapy";F;2007/09/05;"863O"
"863W";"16";"Medical contact with team of care providers for hematologic problem, short therapy";"Medical contact with team for hematol probl, sh ther";F;2007/09/05;"863P"
"864O";"14";"Obstetric problem, short observation w/o signifikant procedure";"Obstetric problem, short observation w/o signifikant procedu";F;2005/10/09;"864O"
"864V";"17";"Major aferesis or blood cell separation, short therapy";"Major aferesis or blood cell separation, short therapy";F;2007/09/05;"864O"
"865O";"15";"Neonatal problem, short observation w/o signifikant procedure";"Neonatal problem, short observation w/o signifikant procedur";F;2005/10/11;"865O"
"865V";"23";"Major radiotherapy with anesthesia, short therapy";"Major radiotherapy with anesthesia, short therapy";F;2008/02/07;"865O"
"866O";"16";"Hematologic problem, short observation w/o signifikant procedure";"Hematologic problem, short observation w/o signifikant proce";F;2005/10/10;"866O"
"866V";"23";"Major radiotherapy, short therapy";"Major radiotherapy, short therapy";F;2007/09/05;"866O"
"867O";"17";"Myeloproliferative problem, short observation w/o signifikant procedure";"Myeloproliferative problem, short observation w/o sign proc";F;2005/10/10;"867O"
"867V";"23";"Radiotherapy with preparations, short therapy";"Radiotherapy with preparations, short therapy";F;2007/09/05;"867O"
"869O";"17";"Psychiatric problem, short observation w/o signifikant procedure";"Psychiatric problem, short observation w/o signifikant proce";F;2005/10/11;"869O"
"869V";"23";"Brachytherapy and isotope therapy, short therapy";"Brachytherapy and isotope therapy, short therapy";F;2007/09/05;"869O"
"870V";"17";"Minor aferesis and blood cell separation, short therapy";"Minor aferesis and blood cell separation, short therapy";F;2007/09/05;"870O"
"871O";"21";"Trauma, short observation w/o signifikant procedure";"Trauma, short observation w/o signifikant procedure";F;2005/10/11;"871O"
"871V";"17";"Bonemarrow biopsy, short therapy";"Bonemarrow biopsy, short therapy";F;2007/09/05;"871O"
"872O";"22";"Burns, short observation w/o signifikant procedure";"Burns, short observation w/o signifikant procedure";F;2005/10/07;"872O"
"872V";"23";"Minor radiotherapy, short therapy";"Minor radiotherapy, short therapy";F;2007/09/05;"872O"
"873O";"23";"Factors influencing health status and other contacts with health services, short obseration w/o signifikant procedures";"Fact infl health status and oth contacts, shrt obs w/o sign";F;2005/10/10;"873O"
"873V";"23";"Preparation for radiotherapy, short therapy";"Preparation for radiotherapy, short therapy";F;2007/09/05;"873O"
"874T";"17";"Letter or telephone contact for oncological problem";"Letter or telephone contact for oncological problem";F;2011/05/23;"874T"
"874V";"17";"Other medical contact for myeloproliferative problem, short therapy";"Other medical contact for myeloprol problem, short therapy";F;2007/09/05;"874O"
"874W";"17";"Medical contact with team of care providers for myeloproliferative problem, short therapy";"Medical contact with team for myeloprol probl, sh ther";F;2007/09/05;"874P"
"875T";"18";"Letter or telephone contact for Infectious disease problem";"Letter or telephone contact for Infectious disease problem";F;2011/05/23;"875T"
"875V";"18";"Other medical contact for infectious disease, short therapy";"Other medical contact for infectious disease, short therapy";F;2007/09/05;"875O"
"875W";"18";"Medical contact with team of care providers for infectious disease, short therapy";"Medical contact with team for infect dis, sh ther";F;2007/09/05;"875P"
"876V";"19";"Psychosocial examination, short therapy";"Psychosocial examination, short therapy";F;2007/09/05;"876O"
"877V";"19";"Elelctroconvlulsive therapy, short therapy";"Elelctroconvlulsive therapy, short therapy";F;2007/09/05;"877O"
"878V";"19";"Psychosocial training, short therapy";"Psychosocial training, short therapy";F;2007/09/05;"878O"
"878W";"19";"Psychotherapy, short therapy";"Psychotherapy, short therapy";F;2007/09/05;"878P"
"879V";"19";"Psychological light therapy, short therapy";"Psychological light therapy, short therapy";F;2007/09/05;"879O"
"880O";"30";"Breast problem, short observation w/o signifikant procedures";"Breast problem, short observation w/o signifikant procedures";F;2008/02/07;"880O"
"880T";"19";"Letter or telephone contact for psychiatric problem";"Letter or telephone contact for psychiatric problem";F;2011/05/23;"880T"
"880V";"19";"Other medical contact for psychiatric problem, short therapy";"Other medical contact for psychiatric problem, short therapy";F;2007/09/05;"880O"
"880W";"19";"Medical contact with team of care providers for psychiatric problem, short therapy";"Medical contact with team for psych probl, sh ther";F;2007/09/05;"880P"
"881V";"21";"Forensic examination, short therapy";"Forensic examination, short therapy";F;2007/09/05;"881O"
"882T";"21";"Letter or telephone contact for accident or intoxication";"Letter or telephone contact for accident or intoxication";F;2011/05/23;"882T"
"882V";"21";"Other medical contact for accicent and intoxication, short therapy";"Other medical contact for accicent and intoxication, sh ther";F;2007/09/05;"882O"
"882W";"21";"Medical contact with team of care providers for accicent and intoxication, short therapy";"Medical contact with team for accicent & intox, sh ther";F;2007/09/05;"882P"
"883T";"22";"Letter or telephone contact for burns";"Letter or telephone contact for burns";F;2011/05/23;"883T"
"883V";"22";"Other medical contact for burns, short therapy";"Other medical contact for burns, short therapy";F;2007/09/05;"883O"
"883W";"22";"Medical contact with team of care providers for burns, short therapy";"Medical contact with team for burns, short ther";F;2007/09/05;"883P"
"884T";"23";"Letter or telephone contact for other problems";"Letter or telephone contact for other problems";F;2011/05/23;"884T"
"884V";"23";"Other medical contact for other problems, short therapy";"Other medical contact for other problems, short therapy";F;2007/09/05;"884O"
"884W";"23";"Medical contact with team of care providers for other problems, short therapy";"Medical contact with team for other problems, short therapy";F;2007/09/05;"884P"
"885T";"24";"Letter or telephone contact for multiple trauma";"Letter or telephone contact for multiple trauma";F;2011/05/23;"885T"
"885V";"24";"Other medical contact for multiple injuries, short therapy";"Other medical contact for multiple injuries, short therapy";F;2007/09/05;"885O"
"885W";"24";"Medical contact with team of care providers for multiple injuries, short therapy";"Medical contact with team for multiple inj, sh ther";F;2007/09/05;"885P"
"886V";"30";"Incision and puncture of breast, short therapy";"Incision and puncture of breast, short therapy";F;2007/09/05;"886O"
"887T";"30";"Letter or telephone contact for breast problems";"Letter or telephone contact for breast problems";F;2011/05/23;"887T"
"887V";"30";"Other medical contact for breast problems, short therapy";"Other medical contact for breast problems, short therapy";F;2007/09/05;"887O"
"887W";"30";"Medical contact with team of care providers for breast problems, short therapy";"Medical contact with team for breast probl, sh ther";F;2007/09/05;"887P"
"888V";"23";"Intesive care intervention, short therapy";"Intesive care intervention, short therapy";F;2007/09/05;"888O"
"888W";"23";"Observation at intesive care unit, short therapy";"Observation at intesive care unit, short therapy";F;2007/09/05;"888P"
"890O";"90";"Team therapy";"Team therapy";F;2005/10/06;"890O"
"890V";"23";"Implantation of pumping device or injection gate, short therapy";"Implantation of pumping device or injection gate, short ther";F;2007/09/05;"890O"
"891V";"23";"Isotope examination, short therapy";"Isotope examination, short therapy";F;2007/09/05;"891O"
"892O";"90";"Group therapy";"Group therapy";F;2005/10/06;"892O"
"892V";"23";"Major check-up of current therapy, short therapy";"Major check-up of current therapy, short therapy";F;2007/09/05;"892O"
"894V";"23";"Allergy and immunedeficiency examination with provocation, short therapy";"Allergy and immunedeficiency exam with provoc, sh ther";F;2007/09/05;"894O"
"895V";"23";"Occupational and environmental examination, short therapy";"Occupational and environmental examination, short therapy";F;2007/09/05;"895O"
"897V";"23";"Occupational and environmental mesurement, short therapy";"Occupational and environmental mesurement, short therapy";F;2007/09/05;"897O"
"898V";"23";"Cannulation and cathetrisation of vein, short therapy";"Cannulation and cathetrisation of vein, short therapy";F;2007/09/05;"898O"
"899V";"23";"Rinsing or removal of drainage, short therapy";"Rinsing or removal of drainage, short therapy";F;2007/09/05;"899O"
"900V";"23";"Major examination of body composition, short therapy";"Major examination of body composition, short therapy";F;2007/09/05;"900O"
"901FA";"01";"Neurologic disease, radiation therapy, short therapy";"Neurologic disease, radiation therapy, short therapy";F;2006/01/16;"901A"
"901FB";"01";"Neurologic disease, stereotactic radiation therapy or isotope therapy, short therapy";"Neurologic disease, ster radi ther or isot ther, sh th";F;2006/01/16;"901B"
"901FC";"01";"Neurologic disease, demanding isotope therapy, short therapy";"Neurologic disease, demanding isotope therapy, short therapy";F;2006/01/16;"901C"
"901FD";"01";"Neurologic disease, cytostatic therapy, short therapy";"Neurologic disease, cytostatic therapy, short therapy";F;2006/01/16;"901D"
"901FE";"01";"Neurologic disease, demanding cytostatic therapy, short therapy";"Neurologic disease, demanding cytostatic therapy, short ther";F;2006/01/16;"901E"
"901FF";"01";"Neurologic disease, special demanding cytostatic therapy, short therapy";"Neurologic disease, special demanding cytostatic therapy, sh";F;2006/01/16;"901F"
"901FG";"01";"Neurologic disease, special medical therapy";"Neurologic disease, special medical therapy";F;2006/01/16;"901G"
"901FH";"01";"Neurologic disease, demanding medical therapy";"Neurologic disease, demanding medical therapy";F;2006/01/16;"901H"
"901FI";"01";"Neurologic disease, special demanding medical therapy";"Neurologic disease, special demanding medical therapy";F;2006/01/16;"901I"
"901FP";"01";"Diagnostic procedure of central nervous system, head and neck, short therapy";"Dx proc of central nervous system, head and neck, short th";F;2004/08/09;"901P"
"901FQ";"01";"Demanding diagnostic procedure of central nervous system, head and neck, short therapy";"Dem dx proc of centr nerv syst, head and neck, sh th";F;2005/02/04;"901Q"
"901FR";"01";"Intravenous immunglobulin treatement of neurological problem, short therapy";"Intravenous immunglobulin treatm of neurol probl, sh th";F;2004/08/16;"901FR"
"901NP";"01";"Other one day care for MDC 01";"Other one day care for MDC 01";F;2009/07/20;"901N+"
"901O";"01";"Disease of nervous system, short therapy w/o signifikant procedure";"Disease of nervous system, short therapy w/o signifikant pro";T;2003/05/23;"901O"
"901V";"23";"Ultrasonography, short therapy";"Ultrasonography, short therapy";F;2007/09/05;"901O"
"901Z";"01";"Disease of nervous system, short therapy w/o signifikant procedure";"Disease of nervous system, short therapy w/o signifikant pro";F;2008/05/20;"901Z"
"902FG";"02";"Disease or disorder of the eye, special medication, short therapy";"Disease or disorder of the eye, special medication, short th";F;2008/02/14;"902G"
"902FH";"02";"Disease or disorder of the eye, demanding medication, short therapy";"Disease or disorder of the eye, demanding medication, sh th";F;2008/02/14;"902H"
"902NP";"02";"Other one day care for MDC 02";"Other one day care for MDC 02";F;2009/07/20;"902N+"
"902O";"02";"Disease or disorder of the eye, short therapy w/o significant procedure";"Disease or disorder of the eye, short therapy w/o significan";T;2003/05/23;"902O"
"902V";"23";"Allergy and immunedeficiency examination, short therapy";"Allergy and immunedeficiency examination, short therapy";F;2007/09/05;"902O"
"902Z";"02";"Disease or disorder of the eye, short therapy w/o significant procedure";"Disease or disorder of the eye, short therapy w/o significan";F;2008/05/20;"902Z"
"903FA";"03";"Disease and disorder of ear, nose, mouth and throat, radiation therapy, short therapy";"Disease and disorder of ENMT, rad ther, sh th";F;2006/01/17;"903A"
"903FB";"03";"Malignancy of ear, nose, mouth and throat, cytostatic therapy, short therapy";"Malign of ENMT, cyt ther, sh th";F;2006/01/17;"903B"
"903FC";"03";"Malignancy of ear, nose, mouth and throat, demanding cytostatic therapy, short therapy";"Malign of ENMT, dem cyt ther, sh th";F;2006/01/17;"903C"
"903FD";"03";"Malignancy of ear, nose, mouth and throat, special demanding cytostatic therapy, short therapy";"Malign of ENMT, spec dem cyt ther, sh th";F;2006/01/17;"903D"
"903FE";"03";"Special medical therapy of ear, nose, moth or throat";"Special medical therapy of ear, nose, moth or throat";F;2006/01/17;"903E"
"903NP";"03";"Other one day care for MDC 03";"Other one day care for MDC 03";F;2009/07/20;"903N?"
"903O";"03";"Disease and disorder of ear, nose, mouth and throat, short therapy w/o significant procedure";"Disease and disorder of ear, nose, mouth and throat, sho";T;2004/11/09;"903O"
"904FA";"04";"Malignancy of respiratory system, radiation therapy, short therapy";"Malign of respiratory system, rad ther, sh th";F;2006/01/17;"904A"
"904FB";"04";"Malignancy of respiratory system, cytostatic therapy, short therapy";"Malign of respiratory system, cytost ther, sh th";F;2006/01/17;"904B"
"904FC";"04";"Malignancy of respiratory system, demanding cytostatic therapy, short therapy";"Malign of respiratory system, dem cytost ther, sh th";F;2006/01/17;"904C"
"904FD";"04";"Malignancy of respiratory system, special demanding cytostatic therapy, short therapy";"Malign of respiratory system, spec dem cytost ther, sh th";F;2006/01/17;"904D"
"904FE";"04";"Disease or disorder of respiratory system, special medical therapy, short therapy";"Dis/disord of respiratory system, spec med ther, sh th";F;2006/01/17;"904E"
"904FF";"04";"Disease or disorder of respiratory system, special demanding medical therapy, short therapy";"Dis/disord of respiratory system, spec dem med ther, sh th";F;2008/02/14;"904F"
"904NP";"04";"Other one day care for MDC 04";"Other one day care for MDC 04";F;2009/07/20;"904NP"
"904O";"04";"Disease and disorder of the respiratory system, short therapy w/o significant procedure";"Disease and disorder of the  respiratory system,, sho";T;2003/11/06;"904O"
"905FP";"05";"Diagnostic procedure of heart, large vessels and other intrathoracal organs, short therapy";"Dx invest of heart, large vessels and thor org, sh th";F;2004/08/09;"905P"
"905FQ";"05";"Demanding diagnostic procedure of heart, large vessels and other intrathoracal organs, short therapy";"Demand dx proc of heart, large vessels and thor org, sh th";F;2004/08/09;"905Q"
"905FR";"05";"Diagnostic procedure of periferal vascular system, short therapy";"Dx proc of periferal vascular system, sh th";F;2004/08/09;"905R"
"905FS";"05";"Demanding diagnostic procedure of periferal vascular system, short therapy";"Demand dx proc of periferal vascular system, sh th";F;2004/08/09;"905S"
"905FT";"05";"Diagnostic procedure of lymfatic system, short therapy";"Diagnostic procedure of lymfatic system, short therapy";F;2004/08/09;"905T"
"905NP";"05";"Other one day care for MDC 05";"Other one day care for MDC 05";F;2009/07/20;"905NP"
"905O";"05";"Disease or disorder of the circulatory system, short therapy w/o significant procedure";"Disease or disorder of the circulatory system, short therapy";T;2003/06/05;"905O"
"905V";"23";"Check-up of patient with ongoing therapy, short therapy";"Check-up of patient with ongoing therapy, short therapy";F;2007/09/05;"905O"
"905W";"";"";"";F;/  /;"905W"
"906FA";"06";"Malignancy of digestive system, radiation therapy, short therapy";"Malign of digest syst, rad ther, sh th";F;2006/01/17;"906A"
"906FB";"06";"Malignancy of digestive system, cytostatic therapy, short therapy";"Malign of digest syst, cytost ther, sh th";F;2006/01/17;"906B"
